Оборудование;Узел;Номер узла;Идентификационный номер;Наименование;Тип номера;Стр.
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503200001;900485100010054416;Штуцер;Номер заказа;299
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503200001;900489515701076046;Заглушка;Номер заказа;299
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503200001;900485100010051916;Штуцер;Номер заказа;299
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503200001;900486840000304376;Штуцер;Номер заказа;299
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503200001;900560981000020156;Муфта измерительная SMK;Номер заказа;299
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503200001;900488204000021076;Гидрораспределитель 6825 002-107;Номер заказа;299
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503300001;068000002503310001;Кронштейн;Номер заказа;300
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503300001;401113710800002002;;Номер заказа;300
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503300001;068000002503320001;Гидроблок;Номер заказа;300
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503300001;900485100010053816;Штуцер;Номер заказа;300
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503300001;900488204000031086;Гидрораспределитель 6825 003-108;Номер заказа;300
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Клапан давления;068000002503150001;900488232000058206;Клапан предохранительный пропорциональный RTTS;Номер заказа;301
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Клапан давления;068000002503150001;900486840000303876;Штуцер;Номер заказа;301
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Коллектор;068000002503010001;068000002503011002;Коллектор;Номер заказа;302
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Коллектор;068000002503010001;900485100010051416;Штуцер;Номер заказа;302
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Коллектор;068000002503010001;900486840000303876;Штуцер;Номер заказа;302
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503100001;068000002503120001;Гидроблок;Номер заказа;303
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503100001;900488204000042026;Гидрораспределитель 6825 004-202;Номер заказа;303
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503100001;900485100010052216;Штуцер;Номер заказа;303
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503100001;900485100010052116;Штуцер;Номер заказа;303
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503100001;068000002503121002;Штуцер;Номер заказа;303
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503100001;900561474000001806;Кольцо резинометаллическое;Номер заказа;303
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503100001;900080401701002596;;Номер заказа;303
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503100001;401064021000002106;;Номер заказа;303
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503100001;068000002503110001;Кронштейн;Номер заказа;303
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503400001;068000002503410001;Гидроблок;Номер заказа;304
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503400001;900488204000011046;Гидрораспределитель 6825 001-104;Номер заказа;304
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503400001;900489515701076026;Заглушка;Номер заказа;304
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Гидропульт;068000002503400001;068000002503420001;Кронштейн;Номер заказа;304
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Комплект рукавов (ХЛ);173000000500700001;900265847000206406;РВД DN06х400;Номер заказа;305
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Комплект рукавов (ХЛ);173000000500700001;900265847000068006;РВД DN06х800;Номер заказа;305
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Комплект рукавов (ХЛ);173000000500700001;900265848000069006;РВД DN06х900;Номер заказа;305
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Комплект рукавов (ХЛ);173000000500700001;900265847000010016;РВД DN06х1000;Номер заказа;305
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Комплект рукавов (ХЛ);173000000500700001;900265847000011006;РВД DN06х1100;Номер заказа;305
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Комплект рукавов (ХЛ);173000000500700001;900265847000013006;РВД DN06х1300;Номер заказа;305
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Комплект рукавов (ХЛ);173000000500700001;900265847000804006;РВД DN08х400;Номер заказа;305
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Комплект рукавов (ХЛ);173000000500700001;900265847000805006;РВД DN08х500;Номер заказа;305
Станок буровой БС-230 (БС-230.00.00.000 РЭ2);Комплект рукавов (ХЛ);173000000500700001;900265847000807006;РВД DN08х700;Номер заказа;305
Двигатель Weichai серии WP17;机体结合组(Engine Block Group) (Группа блоков цилиндров двигателя);;1612700010010;Гильза цилиндра;Номер части;6
Двигатель Weichai серии WP17;机体结合组(Engine Block Group) (Группа блоков цилиндров двигателя);;612630030007;Датчик скорости;Номер части;6
Двигатель Weichai серии WP17;机体结合组(Engine Block Group) (Группа блоков цилиндров двигателя);;90013050006S;дюймовый винт с шестигранной головкой;Номер части;6
Двигатель Weichai серии WP17;机体结合组(Engine Block Group) (Группа блоков цилиндров двигателя);;1001675559;Шестигранная винтовая заглушка;Номер части;6
Двигатель Weichai серии WP17;机体结合组(Engine Block Group) (Группа блоков цилиндров двигателя);;1001063382;Уплотнительная шайба в сборе;Номер части;6
Двигатель Weichai серии WP17;机体结合组(Engine Block Group) (Группа блоков цилиндров двигателя);;612600090915;Датчик давления и температуры;Номер части;6
Двигатель Weichai серии WP17;机体结合组(Engine Block Group) (Группа блоков цилиндров двигателя);;1001063375;Уплотнительная шайба в сборе;Номер части;6
Двигатель Weichai серии WP17;机体结合组(Engine Block Group) (Группа блоков цилиндров двигателя);;1001757681;Шестигранная коническая резьбовая заглушка;Номер части;6
Двигатель Weichai серии WP17;机体结合组(Engine Block Group) (Группа блоков цилиндров двигателя);;1001251569;Уплотнительная шайба в сборе;Номер части;6
Двигатель Weichai серии WP17;机体结合组(Engine Block Group) (Группа блоков цилиндров двигателя);;1008647919;корпус в сборе;Номер части;6
Двигатель Weichai серии WP17;机体总成(crankcase assembly) (картер в сборе);;610800010023;Заклепка для вытягивания;Номер части;7
Двигатель Weichai серии WP17;机体总成(crankcase assembly) (картер в сборе);;612600040639;Заглушка для раковины;Номер части;7
Двигатель Weichai серии WP17;机体总成(crankcase assembly) (картер в сборе);;812700010048;Штепсельная вилка для раковины;Номер части;7
Двигатель Weichai серии WP17;机体总成(crankcase assembly) (картер в сборе);;612639000020;Заклепка для вытягивания;Номер части;7
Двигатель Weichai серии WP17;机体总成(crankcase assembly) (картер в сборе);;812700010035;Корзина;Номер части;7
Двигатель Weichai серии WP17;机体总成(crankcase assembly) (картер в сборе);;812700010034;Разделительная масляная доска;Номер части;7
Двигатель Weichai серии WP17;机体总成(crankcase assembly) (картер в сборе);;90003862427;дюймовый винт с шестигранной головкой;Номер части;7
Двигатель Weichai серии WP17;机体总成(crankcase assembly) (картер в сборе);;1008647918;предварительная сборка корпуса;Номер части;7
Двигатель Weichai серии WP17;机体预装配(crankcase pre-assembly) (предварительная сборка картера);;1001063409;Уплотнительная шайба в сборе;Номер части;8
Двигатель Weichai серии WP17;机体预装配(crankcase pre-assembly) (предварительная сборка картера);;1008647917;Блок двигателя;Номер части;8
Двигатель Weichai серии WP17;机体预装配(crankcase pre-assembly) (предварительная сборка картера);;812700010026;Втулка распределительного вала;Номер части;8
Двигатель Weichai серии WP17;机体预装配(crankcase pre-assembly) (предварительная сборка картера);;812700010033;Вспомогательный винт крышки основного подшипника;Номер части;8
Двигатель Weichai серии WP17;机体预装配(crankcase pre-assembly) (предварительная сборка картера);;90003935015;Плоская шайба;Номер части;8
Двигатель Weichai серии WP17;机体预装配(crankcase pre-assembly) (предварительная сборка картера);;812700010030;Основная крышка подшипника;Номер части;8
Двигатель Weichai серии WP17;机体预装配(crankcase pre-assembly) (предварительная сборка картера);;812700010032;Основной болт подшипника;Номер части;8
Двигатель Weichai серии WP17;机体预装配(crankcase pre-assembly) (предварительная сборка картера);;1001053496;Болт основного подшипника;Номер части;8
Двигатель Weichai серии WP17;机体预装配(crankcase pre-assembly) (предварительная сборка картера);;812700010028;Крышка опорного подшипника;Номер части;8
Двигатель Weichai серии WP17;机体预装配(crankcase pre-assembly) (предварительная сборка картера);;812700010047;Бриллиантовый штифт;Номер части;8
Двигатель Weichai серии WP17;机体预装配(crankcase pre-assembly) (предварительная сборка картера);;812700010027;Втулка распределительного вала;Номер части;8
Двигатель Weichai серии WP17;机体预装配(crankcase pre-assembly) (предварительная сборка картера);;1007303876;Втулка распределительного вала;Номер части;8
Двигатель Weichai серии WP17;机体预装配(crankcase pre-assembly) (предварительная сборка картера);;1003394461;Шестигранная коническая резьбовая заглушка;Номер части;8
Двигатель Weichai серии WP17;油封结合组(Oil Seal Group)(Группа сальниковых уплотнений);;1002052027;Переднее сальниковое уплотнение;Номер части;9
Двигатель Weichai серии WP17;油封结合组(Oil Seal Group)(Группа сальниковых уплотнений);;812700010016;Сальник заднего хода;Номер части;9
Двигатель Weichai серии WP17;油封结合组(Oil Seal Group)(Группа сальниковых уплотнений);;812700010020;Комплект поршневых сопел;Номер части;9
Двигатель Weichai серии WP17;活塞喷嘴组件(Piston Nozzle Set) (Комплект поршневых сопел);;812700010019;Поршневая форсунка в сборе;Номер части;10
Двигатель Weichai серии WP17;活塞喷嘴组件(Piston Nozzle Set) (Комплект поршневых сопел);;90011400019;Шестигранный фланцевый болт;Номер части;10
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;1812700010018;Корпус поршневой форсунки;Номер части;11
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;812700010017;Пистонное сопло;Номер части;11
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;90015200017;Параллельный штифт;Номер части;11
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;1006038779;Корпус маховика;Номер части;11
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;90011400056;Шестигранный фланцевый болт;Номер части;11
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;90011360012;Болт с шестигранной головкой;Номер части;11
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;90011400019;Шестигранный фланцевый болт;Номер части;11
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;612600010062;Крышка ручного отверстия;Номер части;11
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;90013050006S;Дюймовый винт с шестигранной головкой;Номер части;11
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;612630030007;Датчик скорости;Номер части;11
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;90003802312;Болт с шестигранной головкой;Номер части;11
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;812700010045;Шестигранный фланцевый болт;Номер части;11
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;9000000707;Двойная концевая шпилька;Номер части;11
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;1001940297;Соединительное кольцо корпуса маховика;Номер части;11
Двигатель Weichai серии WP17;活塞喷嘴总成(Piston Nozzle Assembly) (Узел поршневой форсунки);;90012290002;Шестигранная фланцевая гайка;Номер части;11
Двигатель Weichai серии WP17;前端盖结合组(Front End Cover Group) (Группа фронтальной крышки);;812700010044;резиновое уплотнительное кольцо в форме полумесяца;Номер части;12
Двигатель Weichai серии WP17;前端盖结合组(Front End Cover Group) (Группа фронтальной крышки);;812700010043;уплотнительное кольцо MEGACO-ring;Номер части;12
Двигатель Weichai серии WP17;前端盖结合组(Front End Cover Group) (Группа фронтальной крышки);;90003901420;параллельный вывод;Номер части;12
Двигатель Weichai серии WP17;前端盖结合组(Front End Cover Group) (Группа фронтальной крышки);;1001398034;Передняя крышка в сборе;Номер части;12
Двигатель Weichai серии WP17;前端盖结合组(Front End Cover Group) (Группа фронтальной крышки);;90011400025;шестигранный фланцевый болт;Номер части;12
Двигатель Weichai серии WP17;前端盖结合组(Front End Cover Group) (Группа фронтальной крышки);;90011400007;фланцевый болт с шестигранной головкой;Номер части;12
Двигатель Weichai серии WP17;前端盖结合组(Front End Cover Group) (Группа фронтальной крышки);;90011400022;шестигранный фланцевый болт;Номер части;12
Двигатель Weichai серии WP17;前端盖结合组(Front End Cover Group) (Группа фронтальной крышки);;9000000135;фланцевый болт с магнитным шестигранником;Номер части;12
Двигатель Weichai серии WP17;前端盖总成(Front Cap Assembly) (Передняя крышка в сборе);;1001757689;Шестигранная коническая резьбовая заглушка;Номер части;13
Двигатель Weichai серии WP17;前端盖总成(Front Cap Assembly) (Передняя крышка в сборе);;1001251573;Уплотнительная шайба в сборе;Номер части;13
Двигатель Weichai серии WP17;前端盖总成(Front Cap Assembly) (Передняя крышка в сборе);;1000964688;Передняя крышка;Номер части;13
Двигатель Weichai серии WP17;曲轴结合组(Crankshaft Group) (Группа коленчатых валов);;812700020008;Шестерня газораспределения коленчатого вала;Номер части;14
Двигатель Weichai серии WP17;曲轴结合组(Crankshaft Group) (Группа коленчатых валов);;90003901418;Параллельный штифт;Номер части;14
Двигатель Weichai серии WP17;曲轴结合组(Crankshaft Group) (Группа коленчатых валов);;1006286609;Коленчатый вал в сборе;Номер части;14
Двигатель Weichai серии WP17;曲轴结合组(Crankshaft Group) (Группа коленчатых валов);;1000048909;Фланец;Номер части;14
Двигатель Weichai серии WP17;曲轴结合组(Crankshaft Group) (Группа коленчатых валов);;1000048962;Шестерня масляного насоса;Номер части;14
Двигатель Weichai серии WP17;曲轴结合组(Crankshaft Group) (Группа коленчатых валов);;90011410011;Шестигранный фланцевый болт;Номер части;14
Двигатель Weichai серии WP17;曲轴总成(Crankshaft Assembly) (Коленчатый вал в сборе);;812700020004;Крепежный болт для противовеса;Номер части;15
Двигатель Weichai серии WP17;曲轴总成(Crankshaft Assembly) (Коленчатый вал в сборе);;1000998948;Полусредний вес;Номер части;15
Двигатель Weichai серии WP17;曲轴总成(Crankshaft Assembly) (Коленчатый вал в сборе);;812700020003;Средний вес;Номер части;15
Двигатель Weichai серии WP17;曲轴总成(Crankshaft Assembly) (Коленчатый вал в сборе);;812700020002;Вес;Номер части;15
Двигатель Weichai серии WP17;曲轴总成(Crankshaft Assembly) (Коленчатый вал в сборе);;1006285885;Коленчатый вал;Номер части;15
Двигатель Weichai серии WP17;主轴瓦结合组(Main Bearing Group) (Основная подшипниковая группа);;1001384871;Верхний корпус основного подшипника;Номер части;16
Двигатель Weichai серии WP17;主轴瓦结合组(Main Bearing Group) (Основная подшипниковая группа);;1001384872;Нижний кожух основного подшипника;Номер части;16
Двигатель Weichai серии WP17;止推片结合组(Thrust Plate Group) (Группа упорных пластин);;812700010012;Упорная пластина верхней части;Номер части;17
Двигатель Weichai серии WP17;止推片结合组(Thrust Plate Group) (Группа упорных пластин);;812700010013;Нижняя упорная пластина;Номер части;17
Двигатель Weichai серии WP17;止推片结合组(Thrust Plate Group) (Группа упорных пластин);;1010496960;Маховик в сборе;Номер части;17
Двигатель Weichai серии WP17;止推片结合组(Thrust Plate Group) (Группа упорных пластин);;1001939970;Соединительное кольцо маховика;Номер части;17
Двигатель Weichai серии WP17;止推片结合组(Thrust Plate Group) (Группа упорных пластин);;1007101901;Болт маховика;Номер части;17
Двигатель Weichai серии WP17;止推片结合组(Thrust Plate Group) (Группа упорных пластин);;9000000704;Шестигранный фланцевый болт;Номер части;17
Двигатель Weichai серии WP17;止推片结合组(Thrust Plate Group) (Группа упорных пластин);;90003901418;Параллельный штифт;Номер части;17
Двигатель Weichai серии WP17;飞轮总成(Flywheel Assembly) (Маховик в сборе);;1000451202;Маховик;Номер части;18
Двигатель Weichai серии WP17;飞轮总成(Flywheel Assembly) (Маховик в сборе);;812700020011;Зубчатое кольцо маховика;Номер части;18
Двигатель Weichai серии WP17;活塞连杆结合组(Piston and Connecting Rod Group) (Поршневая и шатунная группа);;612700020061;Комплект поршневых колец;Номер части;20
Двигатель Weichai серии WP17;活塞连杆结合组(Piston and Connecting Rod Group) (Поршневая и шатунная группа);;612630020029;Фиксатор штифта поршня;Номер части;20
Двигатель Weichai серии WP17;活塞连杆结合组(Piston and Connecting Rod Group) (Поршневая и шатунная группа);;612630020025;Штифт поршня;Номер части;20
Двигатель Weichai серии WP17;活塞连杆结合组(Piston and Connecting Rod Group) (Поршневая и шатунная группа);;1003420144;Поршень;Номер части;20
Двигатель Weichai серии WP17;活塞连杆结合组(Piston and Connecting Rod Group) (Поршневая и шатунная группа);;1007165594;Соединительный стержень в сборе;Номер части;20
Двигатель Weichai серии WP17;活塞连杆结合组(Piston and Connecting Rod Group) (Поршневая и шатунная группа);;812700030004;Верхний кожух соединительного стержня;Номер части;20
Двигатель Weichai серии WP17;活塞连杆结合组(Piston and Connecting Rod Group) (Поршневая и шатунная группа);;812700030005;Нижний кожух соединительного стержня;Номер части;20
Двигатель Weichai серии WP17;活塞环组件(Piston Ring Set) (Комплект поршневых колец);;612700020005;Бочкообразное кольцо с замковым камнем;Номер части;21
Двигатель Weichai серии WP17;活塞环组件(Piston Ring Set) (Комплект поршневых колец);;612700020006;Поворотное коническое кольцо;Номер части;21
Двигатель Weichai серии WP17;活塞环组件(Piston Ring Set) (Комплект поршневых колец);;612700020007;Подпружиненное маслораспределительное кольцо катушки;Номер части;21
Двигатель Weichai серии WP17;连杆总成(Connecting Rod Assembly) (Шатун в сборе);;612630020345;Втулка соединительного стержня;Номер части;22
Двигатель Weichai серии WP17;连杆总成(Connecting Rod Assembly) (Шатун в сборе);;1007165591;Соединительный стержень;Номер части;22
Двигатель Weichai серии WP17;连杆总成(Connecting Rod Assembly) (Шатун в сборе);;812700030003;Болт соединительного стержня;Номер части;22
Двигатель Weichai серии WP17;气缸盖结合组(Cylinder Head Group) (Группа головок цилиндров);;1003314752;Главный болт головки цилиндра;Номер части;23
Двигатель Weichai серии WP17;气缸盖结合组(Cylinder Head Group) (Группа головок цилиндров);;1007290822;Гайка головки цилиндра;Номер части;23
Двигатель Weichai серии WP17;气缸盖结合组(Cylinder Head Group) (Группа головок цилиндров);;812700040004;Прижимной блок;Номер части;23
Двигатель Weichai серии WP17;气缸盖结合组(Cylinder Head Group) (Группа головок цилиндров);;812700040005;Запасной блок;Номер части;23
Двигатель Weichai серии WP17;气缸盖结合组(Cylinder Head Group) (Группа головок цилиндров);;1003534640;Вторичные помарки головки блока цилиндров;Номер части;23
Двигатель Weichai серии WP17;气缸盖结合组(Cylinder Head Group) (Группа головок цилиндров);;61800050151;Уплотнение штока клапана;Номер части;23
Двигатель Weichai серии WP17;气缸盖结合组(Cylinder Head Group) (Группа головок цилиндров);;1004686481;Узел цилиндрической головки в сборе;Номер части;23
Двигатель Weichai серии WP17;气缸盖结合组(Cylinder Head Group) (Группа головок цилиндров);;1004220117;Прокладка головки цилиндра;Номер части;23
Двигатель Weichai серии WP17;气缸盖结合组(Cylinder Head Group) (Группа головок цилиндров);;90015210006;Параллельный штифт;Номер части;23
Двигатель Weichai серии WP17;气缸盖结合组(Cylinder Head Group) (Группа головок цилиндров);;1003096198;Параллельный штифт;Номер части;23
Двигатель Weichai серии WP17;气缸盖结合组(Cylinder Head Group) (Группа головок цилиндров);;1001063336;Уплотнительная шайба в сборе;Номер части;23
Двигатель Weichai серии WP17;气缸盖结合组(Cylinder Head Group) (Группа головок цилиндров);;1003394442;Дюймовая винтовая заглушка;Номер части;23
Двигатель Weichai серии WP17;气缸盖结合组(Cylinder Head Group) (Группа головок цилиндров);;1000549569;Уплотнение штока клапана;Номер части;23
Двигатель Weichai серии WP17;气缸盖结合组(Cylinder Head Group) (Группа головок цилиндров);;90014080002;Шайба с шаровой головкой;Номер части;23
Двигатель Weichai серии WP17;气缸盖分总成(Cylinder Head Subassembly) (Узел головки блока цилиндров);;612630040026;Втулка инжектора;Номер части;24
Двигатель Weichai серии WP17;气缸盖分总成(Cylinder Head Subassembly) (Узел головки блока цилиндров);;1004257065;Уплотнительное кольцо втулки инжектора;Номер части;24
Двигатель Weichai серии WP17;气缸盖分总成(Cylinder Head Subassembly) (Узел головки блока цилиндров);;812700040014;Винтовая заглушка;Номер части;24
Двигатель Weichai серии WP17;气缸盖分总成(Cylinder Head Subassembly) (Узел головки блока цилиндров);;612630040181;Направляющая клапана;Номер части;24
Двигатель Weichai серии WP17;气缸盖分总成(Cylinder Head Subassembly) (Узел головки блока цилиндров);;1004680682;Седло выпускного клапана;Номер части;24
Двигатель Weichai серии WP17;气缸盖分总成(Cylinder Head Subassembly) (Узел головки блока цилиндров);;612600040634;Заглушка для раковины;Номер части;24
Двигатель Weichai серии WP17;气缸盖分总成(Cylinder Head Subassembly) (Узел головки блока цилиндров);;612600040633;Штепсельная вилка для раковины;Номер части;24
Двигатель Weichai серии WP17;气缸盖分总成(Cylinder Head Subassembly) (Узел головки блока цилиндров);;1001311861;Цилиндрическая головка;Номер части;24
Двигатель Weichai серии WP17;气缸盖分总成(Cylinder Head Subassembly) (Узел головки блока цилиндров);;1000059542;Седло впускного клапана;Номер части;24
Двигатель Weichai серии WP17;气缸盖分总成(Cylinder Head Subassembly) (Узел головки блока цилиндров);;612600040228;Заклепка для вытягивания;Номер части;24
Двигатель Weichai серии WP17;气缸盖分总成(Cylinder Head Subassembly) (Узел головки блока цилиндров);;612630040028;Уплотнительное кольцо;Номер части;24
Двигатель Weichai серии WP17;气缸盖分总成(Cylinder Head Subassembly) (Узел головки блока цилиндров);;1003405748;Втулка толкающего стержня;Номер части;24
Двигатель Weichai серии WP17;气缸盖分总成(Cylinder Head Subassembly) (Узел головки блока цилиндров);;812700040010;Подъемный выступ;Номер части;24
Двигатель Weichai серии WP17;气缸盖罩结合组(Cylinder Head Cover Group) (Группа крышек головки блока цилиндров);;612630040264;Болт с шестигранным фланцем;Номер части;25
Двигатель Weichai серии WP17;气缸盖罩结合组(Cylinder Head Cover Group) (Группа крышек головки блока цилиндров);;612630040286;Крышка головки цилиндра;Номер части;25
Двигатель Weichai серии WP17;气缸盖罩结合组(Cylinder Head Cover Group) (Группа крышек головки блока цилиндров);;612700040034;Прокладка крышки головки цилиндра;Номер части;25
Двигатель Weichai серии WP17;气缸盖罩结合组(Cylinder Head Cover Group) (Группа крышек головки блока цилиндров);;1001743939;Крышка головки цилиндра в сборе;Номер части;25
Двигатель Weichai серии WP17;气缸盖罩总成(Cylinder Head Cover Assembly) (Крышка головки блока цилиндров в сборе);;1004020407;Крышка маслоналивной горловины в сборе;Номер части;26
Двигатель Weichai серии WP17;气缸盖罩总成(Cylinder Head Cover Assembly) (Крышка головки блока цилиндров в сборе);;1001075612;Крышка головки цилиндра;Номер части;26
Двигатель Weichai серии WP17;加油口盖总成(Oil Filler Cover Assembly) (Крышка маслоналивной горловины в сборе);;1000101895;Уплотнительное кольцо;Номер части;27
Двигатель Weichai серии WP17;加油口盖总成(Oil Filler Cover Assembly) (Крышка маслоналивной горловины в сборе);;1004020402;Крышка маслоналивной горловины;Номер части;27
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1008468492;Предварительный сепаратор нефти и газа;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;90003989301;Зажим;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1009516617;Воздухозаборная труба масляно-газового сепаратора;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;90011420022;Шестигранный фланцевый болт;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1009565615;масляно-газовый сепаратор;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1000619069;Корзина;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1007030570;Воздушная соединительная резиновая трубка;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;90003989336;Зажим;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1008763636;Масляно-газовый сепаратор в сборе с воздухозаборной трубой;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1008763637;Комплект маслоотводящих труб для сепаратора нефти и газа;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1008598752;Узел воздухозаборного патрубка нефтегазоотделителя;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;9000001114;дюймовый винт с шестигранной головкой;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;9000000368;Шестигранный фланцевый болт;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1008481261;Масляно-газоотделительный патрубок для возврата масла;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1008698772;Обратный трубопровод маслоотделителя;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1009564102;Воздуховыпускной патрубок масляно-газового сепаратора;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1005209463;Хомут для труб в сборе;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1011408694;Воздуховыпускной патрубок масляно-газового сепаратора;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1008808130;Корзина;Номер части;29
Двигатель Weichai серии WP17;油气分离器结合组(Oil-gas Separator Group) (Группа сепараторов нефти и газа);;1008720986;Резиновое уплотнительное кольцо в форме;Номер части;29
Двигатель Weichai серии WP17;油气分离器(Oil-gas Separator) (нефтегазовый сепаратор);;1010171172;Кожух масло-газоотделителя в сборе;Номер части;30
Двигатель Weichai серии WP17;油气分离器(Oil-gas Separator) (нефтегазовый сепаратор);;812700040042;Масляно-газоотделительный элемент;Номер части;30
